nm,n,k,wl
192.414993,1,1.814479,0.192414993
194.001999,1,1.822128,0.194001999
195.589081,1,1.834547,0.195589081
197.176178,1,1.849918,0.197176178
198.763351,1,1.863438,0.198763351
200.350571,1,1.876174,0.200350571
201.937836,1,1.891111,0.201937836
203.525162,1,1.90748,0.203525162
205.112518,1,1.922975,0.205112518
206.699921,1,1.937297,0.206699921
208.287399,1,1.951299,0.208287399
209.874908,1,1.965373,0.209874908
211.462448,1,1.979613,0.211462448
213.050049,1,1.994093,0.213050049
214.637695,1,2.008933,0.214637695
216.225388,1,2.024064,0.216225388
217.813141,1,2.038844,0.217813141
219.400925,1,2.052652,0.219400925
220.98877,1,2.065788,0.22098877
222.57663,1,2.079428,0.22257663
224.164581,1,2.094002,0.224164581
225.752533,1,2.108727,0.225752533
227.340546,1,2.122663,0.227340546
228.928619,1,2.13551,0.228928619
230.516693,1,2.147462,0.230516693
232.104858,1,2.158791,0.232104858
233.693039,1,2.170068,0.233693039
235.281281,1,2.182032,0.235281281
236.869537,1,2.194836,0.236869537
238.457855,1,2.207648,0.238457855
240.046219,1,2.21943,0.240046219
241.634598,1,2.229821,0.241634598
243.223053,1,2.239263,0.243223053
244.811523,1,2.248355,0.244811523
246.400055,1,2.257406,0.246400055
247.988602,1,2.266507,0.247988602
249.577194,1,2.275682,0.249577194
251.165848,1,2.285001,0.251165848
252.754517,1,2.294661,0.252754517
254.343231,1,2.304876,0.254343231
255.932007,1,2.315678,0.255932007
257.520813,1,2.326807,0.257520813
259.10965,1,2.337717,0.25910965
260.698517,1,2.348066,0.260698517
262.287415,1,2.357689,0.262287415
263.876373,1,2.366598,0.263876373
265.465363,1,2.374869,0.265465363
267.054382,1,2.38262,0.267054382
268.643433,1,2.390168,0.268643433
270.232513,1,2.398024,0.270232513
271.821655,1,2.406473,0.271821655
273.410828,1,2.41559,0.273410828
275.000031,1,2.425053,0.275000031
276.589264,1,2.434411,0.276589264
278.178528,1,2.443418,0.278178528
279.767822,1,2.451984,0.279767822
281.357147,1,2.460285,0.281357147
282.946533,1,2.468535,0.282946533
284.53595,1,2.476831,0.28453595
286.125366,1,2.485173,0.286125366
287.714844,1,2.493368,0.287714844
289.304352,1,2.501179,0.289304352
290.89386,1,2.508468,0.29089386
292.483459,1,2.515153,0.292483459
294.073029,1,2.521229,0.294073029
295.662659,1,2.526747,0.295662659
297.252319,1,2.531752,0.297252319
298.84201,1,2.536299,0.29884201
300.431732,1,2.540479,0.300431732
302.021484,1,2.544481,0.302021484
303.611267,1,2.548462,0.303611267
305.20105,1,2.552521,0.30520105
306.790894,1,2.556708,0.306790894
308.380768,1,2.560996,0.308380768
309.970642,1,2.565272,0.309970642
311.560577,1,2.569456,0.311560577
313.150543,1,2.573493,0.313150543
314.740509,1,2.577338,0.314740509
316.330505,1,2.580956,0.316330505
317.920532,1,2.584312,0.317920532
319.51059,1,2.587383,0.31951059
321.100677,1,2.59016,0.321100677
322.690796,1,2.592643,0.322690796
324.280914,1,2.594863,0.324280914
325.871063,1,2.596889,0.325871063
327.461243,1,2.598773,0.327461243
329.051453,1,2.600553,0.329051453
330.641693,1,2.602257,0.330641693
332.231964,1,2.603903,0.332231964
333.822235,1,2.605494,0.333822235
335.412537,1,2.607027,0.335412537
337.002869,1,2.608499,0.337002869
338.593231,1,2.609907,0.338593231
340.183594,1,2.611244,0.340183594
341.773987,1,2.61249,0.341773987
343.36441,1,2.613599,0.34336441
344.954865,1,2.614532,0.344954865
346.545319,1,2.615265,0.346545319
348.135803,1,2.615789,0.348135803
349.726288,1,2.616103,0.349726288
351.316833,1,2.61624,0.351316833
352.907349,1,2.616301,0.352907349
354.497894,1,2.616379,0.354497894
356.088501,1,2.616534,0.356088501
357.679108,1,2.616802,0.357679108
359.269714,1,2.617199,0.359269714
360.860352,1,2.617708,0.360860352
362.450989,1,2.618216,0.362450989
364.041687,1,2.618557,0.364041687
365.632385,1,2.618609,0.365632385
367.223083,1,2.618283,0.367223083
368.813782,1,2.617512,0.368813782
370.404541,1,2.616251,0.370404541
371.9953,1,2.614481,0.3719953
373.58606,1,2.61225,0.37358606
375.176849,1,2.609624,0.375176849
376.767639,1,2.60665,0.376767639
378.358459,1,2.603365,0.378358459
379.94931,1,2.599801,0.37994931
381.540161,1,2.595983,0.381540161
383.131042,1,2.591931,0.383131042
384.721893,1,2.587656,0.384721893
386.312805,1,2.58316,0.386312805
387.903687,1,2.57845,0.387903687
389.494598,1,2.573534,0.389494598
391.08551,1,2.568421,0.39108551
392.676453,1,2.563124,0.392676453
394.267426,1,2.557657,0.394267426
395.858398,1,2.552045,0.395858398
397.449371,1,2.546347,0.397449371
399.040344,1,2.540623,0.399040344
400.631348,1,2.53492,0.400631348
402.222351,1,2.529274,0.402222351
403.813385,1,2.523715,0.403813385
405.404388,1,2.518261,0.405404388
406.995422,1,2.512926,0.406995422
408.586487,1,2.507706,0.408586487
410.177551,1,2.502548,0.410177551
411.768616,1,2.497379,0.411768616
413.35968,1,2.49214,0.41335968
414.950745,1,2.486786,0.414950745
416.54184,1,2.481279,0.41654184
418.132904,1,2.47559,0.418132904
419.72403,1,2.469693,0.41972403
421.315125,1,2.463574,0.421315125
422.90625,1,2.457225,0.42290625
424.497375,1,2.450671,0.424497375
426.088531,1,2.443943,0.426088531
427.679626,1,2.437061,0.427679626
429.270813,1,2.430044,0.429270813
430.861908,1,2.422907,0.430861908
432.453064,1,2.415664,0.432453064
434.04425,1,2.408327,0.43404425
435.635345,1,2.400904,0.435635345
437.226501,1,2.393404,0.437226501
438.817688,1,2.385829,0.438817688
440.408844,1,2.378176,0.440408844
442.000061,1,2.370445,0.442000061
443.591217,1,2.362636,0.443591217
445.182373,1,2.354748,0.445182373
446.773529,1,2.346784,0.446773529
448.364685,1,2.338745,0.448364685
449.955902,1,2.330631,0.449955902
451.547058,1,2.322446,0.451547058
453.138245,1,2.314192,0.453138245
454.729431,1,2.305876,0.454729431
456.320618,1,2.297507,0.456320618
457.911774,1,2.289094,0.457911774
459.502991,1,2.280644,0.459502991
461.094147,1,2.272163,0.461094147
462.685303,1,2.263657,0.462685303
464.276459,1,2.255132,0.464276459
465.867676,1,2.246592,0.465867676
467.458832,1,2.238042,0.467458832
469.049988,1,2.229485,0.469049988
470.641174,1,2.220924,0.470641174
472.23233,1,2.21236,0.47223233
473.823486,1,2.203792,0.473823486
475.414642,1,2.19522,0.475414642
477.005768,1,2.186644,0.477005768
478.596924,1,2.178064,0.478596924
480.18808,1,2.16948,0.48018808
481.779205,1,2.160894,0.481779205
483.3703,1,2.152305,0.4833703
484.961487,1,2.143714,0.484961487
486.552582,1,2.135123,0.486552582
488.143707,1,2.126532,0.488143707
489.734802,1,2.117942,0.489734802
491.325867,1,2.109357,0.491325867
492.916992,1,2.100779,0.492916992
494.508057,1,2.092211,0.494508057
496.099182,1,2.083656,0.496099182
497.690247,1,2.075115,0.497690247
499.281311,1,2.066591,0.499281311
500.872314,1,2.058086,0.500872314
502.463379,1,2.049601,0.502463379
